tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,BAK1,IRF3,0.182,0.406371,NS,23,0.6709749274602492,0.767692872
Liver,Myeloid,BAK1,IRF7,0.339,0.113636,NS,23,0.3395118500777605,0.47077771428571424
Liver,Myeloid,BAK1,ISG15,0.305,0.156548,NS,23,0.4064113010810811,0.54478704
Liver,Myeloid,BAK1,JAK1,0.335,0.118181,NS,23,0.3475241376090617,0.4838134603960396
Liver,Myeloid,BAK1,JCHAIN,-0.221,0.311435,NS,23,0.5866814850951168,0.7053025819672132
Liver,Myeloid,BAK1,LAYN,0.143,0.514835,NS,23,0.7464524667924529,0.8111707641509434
Liver,Myeloid,BAK1,LDHA,0.179,0.414195,NS,23,0.6770271543435717,0.775864033898305
Liver,Myeloid,BAK1,LGALS9,0.386,0.068597,†,23,0.2548476052987817,0.38743171428571427
Liver,Myeloid,BAK1,LILRB1,0.044,0.842052,NS,23,0.9334255888292655,0.9613191812543074
Liver,Myeloid,BAK1,MEFV,0.414,0.049523,*,23,0.2077000785340314,0.3439559621848739
Liver,Myeloid,BAK1,MT-CYB,0.294,0.172591,NS,23,0.4295991211023418,0.5730366807228915
Liver,Myeloid,BAK1,MT-ND1,0.113,0.608827,NS,23,0.8091167248772392,0.8638549622317596
Liver,Myeloid,BAK1,MT-ND2,-0.109,0.62153,NS,23,0.8188323158688795,0.866995012658228
Liver,Myeloid,BAK1,MTOR,0.206,0.345915,NS,23,0.6202513594362516,0.7337232878787879
Liver,Myeloid,BAK1,MX1,0.412,0.050973,†,23,0.21195720844155844,0.3459155510204082
Liver,Myeloid,BAK1,PRDM1,-0.081,0.711855,NS,23,0.8685346050425504,0.9142939510489512
Liver,Myeloid,BAK1,PYCARD,-0.117,0.596232,NS,23,0.8012740784889821,0.8563182912705273
Liver,Myeloid,BAK1,RB1,0.085,0.701447,NS,23,0.8635372199295098,0.9102321519185591
Liver,Myeloid,BAK1,RORC,0.064,0.770748,NS,23,0.89787171039709,0.9241133060188542
Liver,Myeloid,BAK1,RPTOR,0.366,0.08609,†,23,0.2923073506539413,0.4260681736526946
Liver,Myeloid,BAK1,SDHB,0.325,0.130119,NS,23,0.3665810395952486,0.5060863694117648
Liver,Myeloid,BAK1,SIGLEC10,-0.005,0.98215,NS,23,0.993684624499684,0.9996883928571428
Liver,Myeloid,BAK1,SOCS1,0.033,0.882548,NS,23,0.9514964658810325,0.973905947889182
Liver,Myeloid,BAK1,SOCS3,-0.035,0.873717,NS,23,0.9478953928168697,0.973905947889182
